Gender,Income
Female,44868.73
Female,67699.13
Female,59099.63
Female,56400.27
Male,53564.13
Female,43388.63
Male,47994.29
Male,49220.77
Female,55495.74
Male,65089.19
Male,61183.38
Male,35806.16
Female,52239.95
Female,57367.63
Male,56188.6
Female,43707.66
Female,79141.09
Female,37229.15
Female,39168.12
Male,52335.95
Male,71168.03
Female,41638.05
Female,47341.72
Male,60772.94
Male,49821.38
Female,46653.96
Male,55656.33
Female,52725.18
Female,60304.39
Male,62914.69
Male,53070.03
Female,52917.33
Female,52141.11
Male,54891.31
Female,50551.71
Male,49993.92
Female,61966.27
Male,65161.16
Male,34924.47
Male,50100.21
Female,43113.06
Female,46890.29
Male,54025.16
Female,56694.38
Male,48878.74
Male,30866.6
Female,40349.54
Female,58965.0
Male,22595.74
Female,61874.27
Female,55212.3
Male,63161.76
Male,48014.31
Female,29385.95
Male,54303.63
Male,62746.53
Female,59247.22
Male,43373.09
Male,50867.61
Female,44671.64
Female,41807.34
Male,59553.89
Male,38024.68
Female,41061.84
Female,38959.74
Female,35097.52
Female,51464.14
Male,61615.03
Female,48151.23
Female,34942.52
Male,58399.45
Female,66857.02
Male,43537.58
Female,45214.46
Female,55156.61
Female,66218.74
Male,44801.66
Male,36675.5
Female,56314.19
Male,57990.68
Male,50061.31
Male,44418.67
Male,59943.79
Male,55280.36
Male,42315.64
Female,50490.95
Female,36482.92
Male,56858.9
Female,47377.66
Female,45642.89
Female,49671.26
Female,50403.08
Male,58949.3
Female,55910.91
Female,48435.91
Male,57636.68
Male,54007.37
Female,45734.0
Female,48752.82
Female,48517.77
Female,55052.61
Female,46329.77
Female,46095.91
Male,69687.57
Female,59397.35
Female,42393.99
Male,55709.41
Male,51183.5
Male,53915.51
Male,51373.41
Female,61896.43
Female,53456.2
Female,49379.11
Female,60421.91
Female,52332.85
Female,51214.79
Male,53140.23
Female,49063.91
Male,50092.27
Male,44133.05
Female,42488.33
Male,40014.3
Female,36080.17
Male,41202.83
Female,48257.33
Male,51031.18
Female,47287.03
Female,26442.97
Female,65745.86
Female,60864.8
Female,54457.6
Male,69074.91
Male,40226.36
Male,68876.25
Female,40347.86
Male,52387.38
Female,37261.63
Female,50146.94
Male,53861.66
Male,48453.1
Female,57138.77
Male,50990.14
Female,44775.85
Female,44331.87
Female,58109.14
Female,43462.58
Female,59154.03
Male,62227.12
Male,33312.86
Female,61329.26
Female,70604.23
Male,52520.04
Male,55990.84
Female,60370.05
Male,47245.18
Female,51822.8
Male,36858.0
Female,51386.35
Male,54981.12
Female,55161.63
Male,60654.25
Male,42251.98
Female,44673.93
Male,68955.07
Female,48496.72
Male,52000.34
Female,49329.9
Male,41783.19
Female,66235.29
Male,44722.99
Female,38727.14
Male,45492.6
Female,29982.94
Female,43487.13
Female,40318.71
Male,56174.29
Female,43265.86
Male,58878.04
Female,63984.84
Male,57811.75
Female,47846.12
Male,51411.14
Male,34750.15
Female,48662.21
Male,41395.62
Male,56943.26
Female,75727.52
Male,54998.22
Male,30088.6
Male,46387.7
Female,51224.91
Male,50873.57
Female,42691.87
Male,52452.92
Male,37574.99
Male,40550.91
Female,56457.98
Male,39843.37
Male,55382.12
Female,36305.36
Male,67648.26
Female,42257.3
Female,47763.33
Male,53306.13
Female,44346.5
Male,51434.06
Female,55753.57
Female,59606.13
Male,57914.97
Female,48281.9
Female,48533.68
Female,73491.09
Female,59498.89
Female,40781.76
Male,50999.88
Female,46648.57
Male,48646.66
Female,37705.05
Male,45880.77
Male,68115.56
Female,55790.76
Female,25088.39
Female,62167.23
Male,60896.3
Female,46407.15
Male,57172.64
Male,41406.01
Male,45297.44
Female,64985.46
Female,47282.7
Male,31302.68
Male,49366.97
Female,49214.12
Male,61983.69
Female,50143.36
Male,45784.18
Female,60450.56
Male,51207.9
Female,42499.77
Male,61549.98
Female,51936.62
Female,50029.26
Male,51779.08
Male,39293.32
Female,44723.46
Male,50035.83
Female,48053.36
Male,62724.28
Female,52174.06
Female,58549.04
Female,50093.95
Female,60562.88
Female,53975.28
Female,50134.2
Male,49867.17
Male,40455.61
Male,55069.16
Female,49597.95
Female,44980.08
Female,61064.62
Female,37497.84
Male,45775.04
Male,60277.19
Female,53155.23
Male,49521.41
Male,52510.04
Female,51794.14
Male,34833.37
Female,46507.38
Male,66165.22
Female,43406.76
Female,46816.99
Female,44583.79
Female,49129.85
Male,44168.77
Female,54867.42
Female,51973.13
Female,57735.48
Male,39490.59
Female,46596.6
Male,47742.77
Female,54556.47
Male,42067.79
Male,59156.54
Female,61864.16
Male,40111.28
Female,45091.27
Female,44680.68
Female,76323.86
Male,45701.0
Male,66776.25
Female,37333.68
Female,40103.49
Male,43133.95
Female,41543.11
Female,47321.01
Female,42912.22
Male,41806.58
Male,61584.72
Male,62237.94
Female,59492.96
Female,55239.99
Female,50927.43
Male,45029.69
Female,40468.42
Female,53629.96
Female,38263.7
Female,40060.79
Male,61529.13
Male,69006.49
Female,53932.95
Male,61064.57
Male,47541.52
Female,36623.26
Female,56121.72
Male,55692.89
Female,50716.69
Male,47576.25
Female,59622.11
Male,40142.67
Female,42262.19
Male,39918.93
Male,50849.73
Male,39121.07
Female,43157.58
Male,42942.44
Male,47393.92
Female,35126.26
Female,50872.05
Male,62473.04
Male,51354.91
Female,65413.21
Female,63339.98
Female,57777.35
Female,50746.86
Female,50225.0
Male,57638.0
Female,46083.29
Male,31174.79
Male,54920.04
Male,38689.31
Female,40378.59
Male,50002.24
Male,49048.75
Female,35879.24
Male,51654.92
Male,59661.4
Female,38716.58
Male,62724.83
Male,34398.29
Male,71173.24
Female,45887.4
Female,51456.17
Female,31079.66
Male,49378.64
Male,52284.82
Female,49138.38
Male,44369.19
Male,40534.35
Female,61305.27
Female,50308.07
Male,65407.52
Male,44735.18
Male,45652.05
Female,58155.94
Female,33770.25
Female,37865.37
Female,60974.85
Male,38280.66
Female,31809.49
Female,68685.27
Female,36061.82
Female,51841.19
Female,50690.85
Male,21893.72
Male,47326.83
Female,54484.13
Male,53543.09
Female,59035.21
Female,46125.09
Male,57125.04
Male,43106.71
Female,35895.33
Female,37022.72
Female,35378.9
Male,60095.86
Female,34854.26
Female,52740.39
Female,47340.76
Male,48973.51
Female,63636.07
Female,45615.73
Male,56116.02
Female,50375.63
Female,48479.81
Male,72999.69
Female,35586.58
Male,62891.32
Male,56564.07
Female,45204.75
Female,66293.19
Female,31518.9
Female,44782.33
Male,37915.18
Female,54120.83
Male,38869.36
Female,54330.64
Female,48135.64
Female,45206.46
Male,53886.47
Female,47313.78
Female,39113.65
Female,78013.73
Female,45128.33
Male,27823.91
Female,41579.01
Male,37327.23
Male,58261.46
Male,53216.53
Male,53987.13
Male,46299.78
Male,47206.5
Female,46290.69
Male,49188.07
Male,58353.33
Male,53360.75
Female,55001.13
Female,54995.59
Male,58844.42
Female,52881.5
Male,53588.48
Male,61888.06
Female,43349.54
Male,41442.57
Female,38140.78
Female,51829.15
Male,31462.68
Male,54621.54
Female,48908.07
Male,61346.4
Male,43280.83
Male,47966.82
Female,61222.03
Female,63831.36
Male,43198.48
Female,51817.81
Female,52944.19
Female,53736.53
Female,47374.24
Female,62813.83
Male,31102.97
Male,45788.7
Male,54479.31
Female,54572.25
Female,63527.59
Male,61982.25
Female,47144.58
Male,62998.71
Male,42859.58
Male,59308.87
Female,68105.22
Female,62149.44
Male,51057.7
Male,46682.21
Male,34714.09
Male,53105.4
Female,38847.83
Female,42068.65
Male,38092.54
Male,45396.08
Female,49720.31
Female,52736.15
Male,43994.93
Male,60692.84
Male,47917.95
Female,42122.78
Female,52262.92
Female,69635.53
Male,53351.61
Male,46371.44
Female,34725.39
Female,47805.88
Male,52349.28
Female,46124.19
Female,33346.15
Male,41494.35
Female,64545.38
Male,64340.01
Male,41133.61
Male,56727.57
Male,38214.27
Male,64043.16
Male,52452.36
Male,59496.41
Female,32849.07
Male,56776.37
Male,49923.26
Female,58519.29
Female,59148.68
Female,50657.85
Male,43991.7
Female,57796.96
Male,49398.46
Male,41272.15
Male,40798.48
Male,35228.36
Female,44897.09
Female,61026.92
Male,51778.3
Male,44702.32
Male,58048.56
Female,41675.23
Male,50953.5
Male,48203.7
Female,57791.31
Female,34227.72
Male,41498.02
Female,33617.54
Female,47404.03
Male,62114.28
Female,44945.53
Male,44893.16
Female,58717.24
Male,60685.5
Male,49114.29
Male,56847.15
Female,39230.45
Male,63779.74
Female,71487.06
Male,55212.16
Male,29156.68
Female,44417.7
Male,56128.25
Male,45785.17
Female,62721.99
Male,55881.57
Male,42935.24
Male,50322.65
Male,41061.67
Female,48174.15
Female,44454.07
Male,61747.62
Female,71160.12
Male,35688.12
Female,30767.84
Male,47548.28
Male,34815.84
Male,50462.12
Male,57489.36
Male,64941.42
Male,52013.95
Female,48068.45
Male,30216.15
Female,50261.85
Male,50712.87
Female,56389.57
Female,42915.12
Female,45649.47
Male,35219.98
Male,27087.07
Female,38915.03
Male,34296.74
Female,53367.12
Male,44818.66
Female,44617.63
Female,40155.87
Male,17674.35
Female,65083.11
Male,39997.29
Female,45875.8
Female,35451.08
Male,59719.3
Male,51434.29
Male,41736.35
Female,46077.7
Male,66781.8
Female,49270.31
Female,48182.66
Male,40586.19
Male,31054.19
Female,48399.61
Female,53254.85
Male,60995.84
Male,27515.03
Male,38749.04
Male,44192.59
Male,49965.19
Female,48549.66
Female,48783.11
Female,54080.96
Female,40967.07
Male,59341.41
Male,54334.52
Male,46801.68
Female,66009.08
Female,65564.16
Male,59328.95
Male,19814.43
Female,65789.45
Female,57947.59
Male,70064.09
Male,62374.65
Female,65783.43
Male,58786.55
Male,63486.93
Male,69941.24
Female,52165.55
Female,34277.69
Female,46925.39
Female,53899.46
Female,50748.88
Female,37534.38
Female,33689.32
Male,42588.37
Male,58077.4
Male,65803.4
Male,59165.68
Male,60574.27
Male,49191.84
Male,32579.18
Female,45447.79
Female,47412.36
Male,45029.48
Male,50546.95
Female,54414.2
Male,58530.15
Male,47218.8
Female,30962.41
Male,45171.22
Female,50437.1
Male,62228.08
Female,44321.92
Female,55125.44
Female,52900.88
Male,50439.01
Female,59305.33
Male,43391.59
Male,44248.14
Male,49880.99
Male,43598.53
Female,55080.12
Female,42868.08
Male,52263.04
Male,48998.27
Female,52149.26
Male,45402.59
Female,46609.12
Male,50960.09
Male,52020.75
Female,49957.98
Male,67053.62
Female,40092.63
Male,49357.96
Male,34263.71
Male,53720.81
Female,38847.53
Male,47216.9
Male,46279.36
Male,52808.91
Male,44472.09
Female,44046.94
Female,64358.56
Male,52845.67
Female,44389.49
Male,47491.66
Male,66453.55
Male,47648.35
Female,43107.23
Female,43150.04
Female,44508.74
Female,44055.02
Female,37203.52
Female,38758.0
Female,41706.8
Female,55915.71
Female,46187.63
Male,47928.38
Female,62700.88
Female,62950.07
Female,47178.75
Female,43691.36
Female,41355.7
Female,56927.76
Female,47952.93
Female,46135.05
Female,41863.35
Female,42303.34
Female,53200.58
Male,36845.62
Male,59948.69
Female,44661.55
Female,48503.64
Male,36630.22
Female,49876.34
Male,46716.79
Male,49499.19
Male,64717.09
Male,51776.98
Male,42053.41
Female,42886.8
Male,55951.31
Female,62986.93
Female,52819.18
Male,56887.13
Male,56097.38
Female,64190.64
Male,30504.1
Male,56672.19
Female,59837.36
Female,36612.76
Male,41143.32
Female,41492.17
Male,42712.1
Male,45182.83
Male,52426.03
Female,58656.75
Female,60813.17
Female,41621.77
Female,41552.97
Female,63158.22
Male,56467.44
Male,50828.65
Male,54733.37
Male,49701.96
Female,55245.85
Male,46639.33
Female,52688.05
Male,34894.54
Female,43122.16
Female,43229.89
Male,46256.1
Male,40734.87
Male,44664.56
Male,34855.86
Female,55487.0
Male,49174.86
Male,32947.92
Female,41651.7
Male,53366.01
Male,44569.78
Male,43030.59
Male,49254.07
Male,53435.98
Female,35636.48
Male,55501.28
Male,41997.07
Male,49820.72
Male,49645.8
Male,44729.34
Female,39763.4
Male,47143.13
Female,66253.3
Female,36383.25
Male,66923.13
Male,47402.79
Male,50353.71
Male,39132.89
Female,42287.31
Male,44970.9
Male,39543.05
Male,47910.82
Male,45929.84
Male,68507.81
Male,38340.26
Female,51026.91
Female,52478.46
Male,39296.79
Male,56868.27
Male,46016.73
Female,25076.1
Male,56598.5
Female,38830.59
Male,39522.25
Male,56879.02
Male,46528.39
Male,59177.72
Female,62101.66
Female,43550.72
Male,57932.62
Male,42445.39
Female,72331.16
Female,43070.43
Female,60260.87
Female,58437.9
Male,53160.88
Female,43294.57
Male,48486.03
Female,28464.12
Female,52244.2
Female,53496.15
Female,51334.99
Female,20266.94
Male,37343.64
Male,42519.09
Female,52916.59
Female,52893.39
Male,48297.76
Female,56352.46
Female,39737.58
Male,56102.35
Female,54747.42
Female,53775.55
Male,48179.6
Male,68307.44
Male,54931.96
Female,40316.64
Male,52483.05
Male,57524.83
Male,44118.91
Male,60892.72
Male,53820.34
Male,26575.22
Female,52996.72
Female,45939.71
Male,55371.8
Male,59442.15
Male,51951.62
Female,66652.52
Female,48212.93
Female,56248.18
Female,58049.43
Female,49026.54
Female,57787.74
Female,44053.27
Female,45774.32
Female,36875.11
Male,52414.09
Male,53252.52
Male,61792.63
Male,57911.4
Female,47152.04
Female,38218.2
Male,54328.5
Female,61107.53
Male,57551.85
Female,60844.78
Male,47881.1
Female,45333.81
Female,42630.99
Male,49441.04
Female,49214.09
Male,52066.78
Male,48707.03
Male,48663.72
Male,42233.06
Female,59416.19
Female,50765.18
Female,48255.56
Male,42525.71
Female,36680.87
Male,63079.64
Female,55546.39
Female,33760.82
Female,57631.42
Male,59224.81
Female,51243.76
Female,65981.11
Male,52167.2
Female,35831.76
Male,53651.69
Female,52448.97
Male,43967.03
Male,55735.59
Female,33323.35
Male,59905.67
Male,41218.78
Male,40150.54
Male,48861.75
Male,54329.73
Male,51639.24
Female,42573.41
Male,44939.11
Male,38669.58
Female,47753.2
Female,60750.21
Female,49957.37
Female,58594.14
Female,64554.01
Female,44119.81
Female,48134.27
Male,71711.93
Male,64443.43
Female,33275.95
Male,53871.48
Male,50005.6
Male,58264.53
Female,42550.21
Female,41603.92
Male,43239.29
Female,44280.71
Male,58153.24
Male,38187.99
Male,43773.86
Male,32109.88
Female,60071.18
Female,62710.3
Female,46729.27
Male,47020.51
Female,54532.22
Male,64744.82
Female,54086.11
Male,43024.58
Male,33811.77
Male,38848.74
Female,50732.19
Female,43446.72
Female,51949.68
Female,44470.76
Male,39418.54
Female,38229.68
Female,65623.55
Male,58889.88
Male,67305.18
Male,55399.51
Female,45700.09
Male,63233.41
Male,49669.32
Male,52208.42
Female,49571.76
Male,20530.96
Female,66047.35
Female,54910.04
Male,53298.23
Male,49382.24
Female,51634.28
Male,44027.21
Male,56165.79
Female,36929.02
Female,51860.68
Male,55615.73
Female,48013.31
Male,53708.68
Male,40086.66
Male,40341.73
Female,52367.17
Male,56785.5
Male,31251.34
Male,55220.21
Female,44567.98
Female,48071.94
Female,36604.82
Female,41483.83
Female,59661.25
Male,50328.63
Female,46172.22
Female,48835.12
Female,54892.12
Male,54404.94
Female,49249.73
Female,60929.59
Male,59704.63
Female,54133.72
Male,50546.12
Male,56573.21
Male,53142.67
Male,60608.0
Male,58995.61
Female,39817.46
Male,39140.37
Male,42987.5
Female,59761.39
Male,34236.91
Female,53947.57
Female,53625.43
Female,61626.48
Male,51803.39
Male,36567.91
Male,40406.45
Female,38180.04
Male,44620.56
Male,48170.98
Male,38345.58
Female,64706.62
Female,36747.19
Male,63461.03
Male,61851.63
Male,58983.03
Male,43062.33
Female,53424.51
Female,37226.29
Female,59109.07
Female,49260.15
Male,45906.8
Male,37762.55
Male,25224.94
Female,39614.59
Male,61127.98
Female,45971.67
Female,48306.71
Male,56555.54
Male,68056.69
Male,63250.05
Female,40276.65
Male,30574.29
Female,73596.14
Male,72689.92
Female,51884.54
Female,37295.12
Male,59632.27
Female,48920.16
Female,48870.19
Male,58944.59
Female,53343.75
Male,38141.85
Female,46752.58
Male,56611.53
Male,55102.52
Female,52620.17
Female,59334.23
Female,46382.83
Female,51786.7
Female,16244.21
Male,45503.5
Female,57639.03
Male,46096.06
Male,45337.73
Female,39585.47
Male,60033.66
Male,55484.63
Male,58254.15
Male,32737.86
Female,48395.5
Male,47198.89
Female,47194.28
Female,43839.72
Male,46538.96
Female,58496.45
Female,30871.49
Female,67772.95
Male,54838.41
Female,49576.68
Female,59068.34
Female,35481.65
Male,43352.99
Female,48789.25
Male,63655.6
Male,49535.03
Male,54500.55
Male,44104.21
Male,54868.42
Male,66772.4
Female,59955.27
Male,49185.44
Female,56754.91
Female,55775.17
Male,55065.88
Female,61119.53
Female,61044.78
Female,48728.41
Female,56418.79
Male,46169.05
Female,40769.28
Male,47305.06
Female,49237.22
Female,33384.19
Male,58603.33
Female,22326.75
Female,77148.17
Female,65018.79
Male,47389.91
Female,50094.26
Male,53029.72
Female,44108.4
Male,51926.19
Male,48560.0
Female,49057.27
Female,51814.61
Male,36864.72
Male,50395.7
Female,51634.48
Male,51288.5
Female,47841.69
Female,61378.58
Female,46463.47
Female,52273.26
Male,62972.98
Female,49206.24
Male,52144.63
Female,49036.15
Male,62373.7
Female,47422.75
Male,62833.55
Male,48964.12
Female,41405.4
Female,56793.73
Female,46953.32
Female,56205.01
Male,22705.96
Female,50052.05
Male,45403.95
Male,39367.41
Female,44467.59
Male,44262.97
Male,49520.14
Male,36326.74
Male,53162.74
Female,63662.15
Female,52809.28
Female,58089.89
Female,60945.62
Male,62364.9
Male,68701.39
Female,45007.98
Female,42815.16
Female,57834.66
Male,57082.66
Female,57756.75
Female,68892.82
Female,50113.7
Male,54261.57
Male,40196.12
Male,71353.21
Male,46634.55
Male,46917.84
Male,46532.5
Male,43551.04
Male,42705.63
Female,44762.96
Female,36342.04
Male,42146.82
Male,69489.63
Female,57356.55
Male,59259.04
Male,61772.09
Male,68341.35
Female,32285.77
Female,37701.17
Female,41962.76
Female,45302.7
Female,46994.31
Male,45530.22
Female,52193.09
Male,50352.95
Male,42771.65
Female,28244.51
Female,40071.31
Male,44507.61
Male,47529.21
Male,38703.33
Female,45091.94
Female,38690.13
Female,48741.81
Female,39269.09
Female,41510.95
Male,36913.16
Female,48464.99
Male,41335.52
Male,59067.84
Male,54058.5
Female,49301.48
Female,42025.15
Female,53805.2
Male,56907.01
Male,51426.88
Male,66037.02
Male,54596.37
Male,59136.07
Male,51335.65
Female,56756.64
Female,42032.19
Female,45416.02
Female,53493.64
Male,53420.99
Male,55076.12
Female,61003.93
Male,35750.29
Female,40255.47
Female,52295.73
Female,42756.36
Male,83777.68
Female,55157.2
Female,49216.69
Female,44845.31
Male,45198.38
Male,50301.41
Female,51119.82
Male,45433.01
Male,47268.48
Male,63442.85
Male,63845.05
Male,52520.34
Male,36587.4
Male,55385.03
Male,65542.82
Male,63697.81
Male,57344.26
Female,64224.23
Female,50533.84
Male,56281.03
Female,43192.24
Female,52922.65
Male,63295.34
Male,44105.77
Male,41385.57
Female,50974.89
Female,47733.38
Male,56491.48
Male,45467.4
Male,67184.4
Female,37103.24
Female,62537.35
Female,42351.51
Female,32040.17
Male,52378.75
Male,47453.92
Male,38903.91
Male,33186.23
Female,49916.39
Female,59758.37
Male,55849.53
Male,50567.07
Female,54788.48
Male,49727.86
Female,35702.76
Male,35791.06
Male,47968.31
Male,48393.47
Male,58509.83
Male,57573.04
Male,56051.33
Male,47197.17
Female,36193.48
Female,54120.71
Female,55251.69
Female,26114.69
Female,41656.62
Male,43089.46
Male,51183.5
Female,41966.4
Male,49618.65
Female,47894.65
Female,48408.51
Male,42836.06
Male,43610.15
Male,39197.33
Female,53800.67
Male,55711.03
Female,42293.82
Female,65206.4
Female,46853.99
Male,65301.86
Male,43578.73
Female,29734.22
Male,54021.98
Male,52485.45
Male,50343.94
Female,43577.68
Female,49654.28
Male,44887.41
Female,46976.5
Male,58416.32
Male,51842.17
Male,56099.51
Male,47681.31
Female,46579.83
Female,38465.17
Female,46299.63
Male,16788.85
Male,44097.78
Male,49181.26
Female,55636.74
Male,47313.22
Female,53476.74
Female,28202.11
Female,49431.63
Female,33204.97
Female,37916.96
Female,48128.34
Male,62762.64
Male,53712.07
Female,50182.31
Female,49804.7
Male,42863.71
Female,44560.17
Female,54273.76
Male,36146.39
Female,55930.54
Female,46114.93
Female,58255.57
Male,59610.93
Male,33269.16
Male,44184.19
Female,41444.72
Female,31872.72
Male,39674.67
Female,74412.56
Female,56095.1
Female,69172.88
Female,58290.98
Female,42581.57
Male,46182.29
Female,55884.36
Male,54375.06
Female,44226.58
Male,34900.07
Female,82877.61
Male,48588.5
Female,46742.61
Male,51133.34
Female,47572.71
Male,51227.29
Female,62869.47
Male,48754.52
Male,38372.9
Female,48383.56
Female,45355.98
Male,64238.99
Female,61711.19
Male,51075.25
Male,37212.64
Male,37741.08
Female,50151.23
Male,53363.23
Male,46253.77
Female,45198.3
Female,44072.01
Female,49766.06
Female,26172.38
Male,38986.73
Male,43729.49
Male,62075.03
Male,41861.86
Female,51804.68
Male,52265.43
Male,62979.17
Female,62625.77
Male,49424.97
Male,45245.15
Male,43361.67
Male,47589.37
Male,45659.67
Male,55536.27
Female,54203.1
Female,55918.01
Male,62592.84
Male,68628.69
Female,51246.63
Male,60994.64
Male,46483.4
Male,61850.07
Female,60615.09
Male,60084.16
Female,50940.7
Male,43316.42
Female,36054.72
Female,49599.63
Male,65330.13
Female,46901.55
Male,57851.27
Female,58439.51
Male,47163.14
Male,63163.45
Female,20913.39
Male,37772.5
Male,40843.68
Female,41802.85
Male,53362.63
Male,52900.38
Female,53939.91
Female,55960.81
Male,40498.95
Male,37818.24
Female,53963.2
Female,43697.68
Male,34295.25
Female,59713.44
Male,63951.02
Male,65571.61
Male,51870.08
Male,56259.32
Male,63698.68
Female,43585.84
Female,61106.78
Female,52753.96
Female,59137.12
Male,51860.93
Male,62962.57
Male,52235.24
Male,35160.21
Female,64519.27
Male,40524.69
Male,62530.58
Female,49097.57
Female,61760.11
Female,61347.69
Female,54301.43
Male,55085.35
Male,54226.29
Female,29861.75
Male,51183.3
Male,38839.36
Male,51711.87
Female,38570.57
Male,38150.48
Female,66049.35
Male,60694.47
Male,49958.57
Male,51847.69
Female,47520.84
Male,55698.76
Female,43239.46
Female,59937.4
Female,47469.13
Male,45801.53
Male,50217.13
Male,44088.53
Male,53286.82
Female,44626.37
Female,54685.24
Female,62160.07
Male,42806.78
Female,48694.25
Male,54613.31
Female,45641.43
Male,54643.21
Male,55553.99
Female,60832.62
Female,43940.1
Female,40572.25
Female,46924.23
Male,40322.48
Female,55644.98
Female,38382.49
Female,73330.16
Male,62959.28
Male,50125.76
Female,58673.94
Male,33631.98
Female,75233.73
Male,44097.85
Male,48795.03
Male,31440.67
Male,54862.87
Female,38936.56
Female,51016.56
Female,44557.26
Male,39222.56
Female,41956.38
Female,52257.88
Female,37185.09
Male,42511.88
